codlogradouro;nome_logradouro_concatenado;nome_oficial_logradouro;nome_logradouro_resumido;cod_indica_pavimentacao;desc_indica_pavimentacao;indica_corredor_transporte;indica_perimetral;codbairro;nomeBairro
6939;RUA ARACATUBA;Rua Araçatuba;R. Aracatuba;S;Via Pavimentada;;;213;IPSEP
6947;RUA ARACE;Rua Arace;R. Arace;S;Via Pavimentada;;;566;NOVA DESCOBERTA
6955;RUA ARACOIABA;Rua Araçoiaba;R. Aracoiaba;X;Não definida;;;892;TEJIPIO
10502;RUA BEATRIZ;Rua Beatriz;R. Beatriz;S;Via Pavimentada;;;337;AGUA FRIA
10510;RUA BEBEDOURO;Rua Bebedouro;R. Bebedouro;S;Via Pavimentada;;;523;ALTO JOSE DO PINHO
10537;RUA BARAO DE BEBERIBE;Rua Barão de Beberibe;R. Barão de Beberibe;S;Via Pavimentada;;;205;BOA VIAGEM
10545;RUA BITUPITA;Rua Bitupita;R. Bitupita;N;Via Não Pavimentada;;;612;BREJO DA GUABIRABA
10553;RUA BEETHOVEN;Rua Beethoven;R. Beethoven;X;Não definida;;;817;SAN MARTIN
10561;RUA BEGE;Rua Bege;R. Bege;X;Não definida;;;531;MORRO DA CONCEICAO
10570;RUA BEIJUPIRA;Rua Beijupira;R. Beijupira;S;Via Pavimentada;;;558;VASCO DA GAMA
21628;RUA ENGENHO BELEZA;Rua Engenho Beleza;R. Engenho Beleza;S;Via Pavimentada;;;884;COHAB
22047;RUA ENGENHO MATARI;Rua Engenho Matari;R. Engenho Matari;S;Via Pavimentada;;;884;COHAB
21148;RUA ELIZEU CESAR;Rua Elizeu César;R. Elizeu Cesar;X;Não definida;;;850;AREIAS
21148;RUA ELIZEU CESAR;Rua Elizeu César;R. Elizeu Cesar;X;Não definida;;;825;JIQUIA
55867;RUA SITIO DOS COQUEIROS;Rua Sítio dos Coqueiros;R. Sítio  Dos Coqueiros;N;Via Não Pavimentada;;;736;VARZEA
24597;RUA FLOR DE LIZ;Rua Flôr de Liz;R. Flôr de Liz;N;Via Não Pavimentada;;;876;BARRO
28150;RUA GUATIMOZIM;Rua Guatimozim;R. Guatimozim;P;Via Parcialmente Pavimentada;;;876;BARRO
28169;RUA DR CARLOS ALVES;Rua Dr Carlos Alves;R. Dr Carlos Alves;S;Via Pavimentada;;;671;ZUMBI
28177;RUA GUEDES ALCOFORADO;Rua Guedes Alcoforado;R. Guedes Alcoforado;S;Via Pavimentada;;;868;JARDIM SAO PAULO
28185;RUA GUEDES PEREIRA;Rua Guedes Pereira;R. Guedes Pereira;S;Via Pavimentada;;;191;TAMARINEIRA
28185;RUA GUEDES PEREIRA;Rua Guedes Pereira;R. Guedes Pereira;S;Via Pavimentada;;;434;CASA AMARELA
58947;RUA RODOLFO RANGEL MOREIRA;Rua Rodolfo Rangel Moreira;R. Rodolfo Rangel Moreira;S;Via Pavimentada;;;647;MADALENA
63380;RUA GOIANINHA;Rua Goianinha;R. Goianinha;X;Não definida;;;434;CASA AMARELA
38911;RUA LIMA DUARTE;Rua Lima Duarte;R. Lima Duarte;S;Via Pavimentada;;;612;BREJO DA GUABIRABA
38920;RUA PADRE LIMA E SA;Rua Padre Lima e Sá;R. Padre Lima e Sa;S;Via Pavimentada;;;213;IPSEP
38938;RUA LIMEIRA;Rua Limeira;R. Limeira;P;Via Parcialmente Pavimentada;;;396;DOIS UNIDOS
76813;RUA MOGEIRO;Rua Mogeiro;R. Mogeiro;S;Via Pavimentada;;;256;BRASILIA TEIMOSA
89443;2TR INTERLANDIA;2ª Travessa Interlandia;2Tr Interlandia;N;Via Não Pavimentada;;;35;SAO JOSE
46329;RUA NISIA FLORESTA;Rua Nísia Floresta;R. Nisia Floresta;S;Via Pavimentada;;;884;COHAB
46280;RUA NINA;Rua Nina;R. Nina;S;Via Pavimentada;;;540;ALTO JOSE BONIFACIO
62138;RUA ULISSES PERNAMBUCANO;Rua Ulisses Pernambucano;R. Ulisses Pernambucano;S;Via Pavimentada;;;663;PRADO
63371;RUA GLORINHA;Rua Glorinha;R. Glorinha;S;Via Pavimentada;;;434;CASA AMARELA
62146;RUA ULISSES VIANA DE SOUZA;Rua Ulisses Viana de Souza;R. Ulisses Viana de Souza;S;Via Pavimentada;;;892;TEJIPIO
64378;RUA DR VICENTE GOMES;Rua Dr Vicente Gomes;R. Dr Vicente Gomes;S;Via Pavimentada;;;205;BOA VIAGEM
64386;RUA VICENTE LICINIO;Rua Vicente Licínio;R. Vicente Licinio;S;Via Pavimentada;;;213;IPSEP
64394;RUA DR VICENTE MEIRA;Rua Dr Vicente Meira;R. Dr Vicente Meira;S;Via Pavimentada;;;167;GRACAS
64408;RUA CAPITAO VICENTE DA MOTA;Rua Capitão Vicente da Mota;R. Cap Vicente da Mota;S;Via Pavimentada;;;205;BOA VIAGEM
64408;RUA CAPITAO VICENTE DA MOTA;Rua Capitão Vicente da Mota;R. Cap Vicente da Mota;S;Via Pavimentada;;;264;IMBIRIBEIRA
64548;RUA VIDEIRA;Rua Videira;R. Videira;S;Via Pavimentada;;;884;COHAB
68365;RUA EMANOEL BEZERRA DOS SANTOS;Rua Emanoel Bezerra dos Santos;R. Emanoel Bezerra dos Santos;S;Via Pavimentada;;;582;MACAXEIRA
68209;VIL ROSA;Vila Rosa;Vil Rosa;N;Via Não Pavimentada;;;876;BARRO
72362;3TR DO ARANDU;3ª Travessa do Arandu;3Tr do Arandu;S;Via Pavimentada;;;531;MORRO DA CONCEICAO
72303;RUA CIDRA;Rua Cidra;R. Cidra;S;Via Pavimentada;;;701;TORROES
72311;2TR ALTO DA CONQUISTA;2ª Travessa Alto da Conquista;2Tr Alto da Conquista;X;Não definida;;;540;ALTO JOSE BONIFACIO
76481;RUA MULUNGU;Rua Mulungu;R. Mulungu;N;Via Não Pavimentada;;;698;IPUTINGA
84840;RUA MARIANO GOMES DE OLIVEIRA;Rua Mariano Gomes de Oliveira;R. Mariano Gomes de Oliveira;N;Via Não Pavimentada;;;175;ENCRUZILHADA
84875;RUA INVESTIGAD JOSE DE CARVALHO;Rua Investigador José de Carvalho;R. Invest. José de Carvalho;N;Via Não Pavimentada;;;442;CASA FORTE
84875;RUA INVESTIGAD JOSE DE CARVALHO;Rua Investigador José de Carvalho;R. Invest. José de Carvalho;N;Via Não Pavimentada;;;434;CASA AMARELA
84883;2TR DA RUA DO MEIO;2ª Travessa da rua do Meio;2ª Tr.  da rua do Meio;N;Via Não Pavimentada;;;337;AGUA FRIA
84891;RUA GERALDO GAMBOA;Rua Geraldo Gambôa;R. Geraldo Gambôa;N;Via Não Pavimentada;;;698;IPUTINGA
84905;RUA S D 8490;Rua S D 8490;R. S D 8490;X;Não definida;;;60;COELHOS
84913;RUA PROFESSOR ALEXANDRE BORGES;Rua Professor Alexandre Borges;R. Prof Alexandre Borges;X;Não definida;;;434;CASA AMARELA
84913;RUA PROFESSOR ALEXANDRE BORGES;Rua Professor Alexandre Borges;R. Prof Alexandre Borges;X;Não definida;;;531;MORRO DA CONCEICAO
84930;RUA ESCRITOR CIRO DOS ANJOS;Rua Escritor Ciro dos Anjos;R. Escritor Ciro Dos Anjos;S;Via Pavimentada;;;507;APIPUCOS
84948;RUA ORFEU DO CARNAVAL;Rua Orfeu do Carnaval;R. Orfeu do Carnaval;S;Via Pavimentada;;;752;CURADO
84948;RUA ORFEU DO CARNAVAL;Rua Orfeu do Carnaval;R. Orfeu do Carnaval;S;Via Pavimentada;;;906;SANCHO
88870;PTE JOAO DE BARROS;Ponte João de Barros;Pte João de Barros;S;Via Pavimentada;;;124;ESPINHEIRO
93688;TRV LUIZ MALHEIROS;Travessa Luiz Malheiros;Tr. Luiz Malheiros;N;Via Não Pavimentada;;;884;COHAB
93700;RUA ENGENHEIRO CORREIA;Rua Engenheiro Correia;R. Eng Correia;P;Via Parcialmente Pavimentada;;;396;DOIS UNIDOS
99961;RUA GEORGE DE SOUZA PACHECO;Rua George de Souza Pacheco;R. George de Souza Pacheco;N;Via Não Pavimentada;;;310;CAMPINA DO BARRETO
100005;RUA ESTRELA DO SUL;Rua Estrela do Sul;R. Estrela do Sul;N;Via Não Pavimentada;;;400;PASSARINHO
100013;RUA ATENAS;Rua Atenas;R. Atenas;N;Via Não Pavimentada;;;400;PASSARINHO
100021;RUA MONTE LIBANO;Rua Monte Libano;R. Monte Libano;N;Via Não Pavimentada;;;400;PASSARINHO
110973;RUA CANTORA EMILINHA BORBA;Rua Cantora Emilinha Borba;R. Cantora Emilinha Borba;S;Via Pavimentada;;;876;BARRO
110981;RUA CANTOR CARLOS GARDEAU;Rua Cantor Carlos Gardeu;R Cantor Carlos Gardeu;S;Via Pavimentada;;;876;BARRO
